ds,y
2020-01-22,444
2020-01-23,444
2020-01-24,549
2020-01-25,761
2020-01-26,1058
2020-01-27,1423
2020-01-28,3554
2020-01-29,4903
2020-01-30,5806
2020-01-31,7153
2020-02-1,11177
2020-02-2,13522
2020-02-3,16678
2020-02-4,19665
2020-02-5,22112
2020-02-6,24953
2020-02-7,27100
2020-02-8,29631
2020-02-9,31728
2020-02-10,33366
2020-02-11,48206
2020-02-12,54406
2020-02-13,56249
2020-02-14,58182
2020-02-15,59989
2020-02-16,61682
2020-02-17,62031
2020-02-18,62442
2020-02-19,62662
2020-02-20,64084
2020-02-21,64084
2020-02-22,64287
2020-02-23,64786
2020-02-24,65187
2020-02-25,65596
2020-02-26,65914
2020-02-27,66337
2020-02-28,66907
2020-02-29,67103
2020-03-1,67217
2020-03-2,67332
2020-03-3,67466
2020-03-4,67592
2020-03-5,67666
2020-03-6,67707
2020-03-7,67743
2020-03-8,67760
2020-03-9,67773
2020-03-10,67781
2020-03-11,67786
2020-03-12,67790
2020-03-13,67794
2020-03-14,67798
2020-03-15,67799
2020-03-16,67800
2020-03-17,67800
2020-03-18,67800
2020-03-19,67800
2020-03-20,67800
2020-03-21,67800
2020-03-22,67801
2020-03-23,67801
2020-03-24,67801
2020-03-25,67801
2020-03-26,67801
2020-03-27,67801
2020-03-28,67801
2020-03-29,67801
2020-03-30,67802
2020-03-31,67802
2020-04-1,67802
2020-04-2,67802
2020-04-3,67803
2020-04-4,67803
2020-04-5,67803
2020-04-6,67803
2020-04-7,67803
2020-04-8,67803
2020-04-9,67803
2020-04-10,67803
2020-04-11,67803
2020-04-12,67803
2020-04-13,67803
2020-04-14,67803
2020-04-15,67803
2020-04-16,67803
2020-04-17,68128
