ds,y
2020-03-11,0
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-02-15,6
2020-03-16,6
2020-03-17,7
2020-03-18,7
2020-03-19,11
2020-03-20,16
2020-03-21,21
2020-03-22,24
2020-03-23,27
2020-03-24,53
2020-03-25,93
2020-03-26,132
2020-03-27,137
2020-03-28,141
2020-03-29,152
2020-03-30,152
2020-03-31,161
2020-04-1,195
2020-04-2,204
2020-04-3,205
2020-04-4,214
2020-04-5,214
2020-04-6,287
2020-04-7,313
2020-04-8,313
2020-04-9,378
2020-04-10,378
2020-04-11,408
2020-04-12,566
2020-04-13,566
2020-04-14,636
2020-04-15,641
2020-04-16,641
2020-04-17,641
2020-04-18,834
2020-04-19,1042
2020-04-20,1042
2020-04-21,1042
2020-04-22,1154
2020-04-23,1154
2020-04-24,1279
2020-04-25,1279
2020-04-26,1550
2020-04-27,1550
2020-04-28,1671
2020-04-29,1671
2020-04-30,2074
2020-04-1,2074
